N,P,K,Temperature,Humidity,pH,Rainfall,Leaf Color,Fertility Score (%),Interpretation,Fertilizer Recommendation,Crop Recommendation
48,114,33,33.4,90.29,6.43,242.09,Light Yellowish Green,61.15,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
58,46,16,11.19,95.98,7.41,137.9,Green,67.85,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
14,9,164,24.42,80.82,9.2,163.97,Light Yellowish Green,31.75,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
50,55,152,13.15,38.39,7.1,129.84,Light Yellowish Green,84.81,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
107,29,121,17.26,71.93,7.96,13.17,Green,94.72,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
54,108,75,39.6,49.38,6.54,49.72,Dark Green,88.49,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
63,4,86,14.27,32.92,7.3,133.66,Pale Green,73.91,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
130,118,116,24.97,85.68,3.93,62.76,Very Dark Green,27.75,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
50,32,105,28.54,13.46,5.03,14.99,Pale Green,28.16,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
134,117,85,31.07,91.16,5.67,253.09,Very Dark Green,96.34,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
20,64,26,26.79,51.53,6.33,294.36,Very Dark Green,1.03,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
72,10,56,10.29,67.35,3.77,237.94,Light Yellowish Green,71.6,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
17,84,30,19.79,69.34,4.34,256.14,Very Dark Green,70.62,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
131,25,133,25.53,90.56,5.16,72.59,Very Dark Green,62.27,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
88,62,167,12.64,67.3,9.33,288.19,Green,99.01,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
59,85,97,20.52,65.25,5.49,59.08,Pale Green,31.19,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
13,58,11,11,16,6.39,285.43,Green,34,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
8,26,52,12.36,56.66,4.68,298.45,Very Dark Green,7.89,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
89,97,198,21.91,23.52,7.16,213.52,Light Yellowish Green,44.28,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
52,104,137,13.98,76.37,5.18,294.34,Green,26.1,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
129,98,172,27.03,56.1,4.74,170.86,Green,34.34,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
83,128,144,30.68,71.22,6.6,77.86,Dark Green,83.46,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
91,54,153,34.02,13.75,3.53,131.1,Very Dark Green,93.55,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
110,5,189,16,17.63,3.55,178.07,Light Yellowish Green,18.57,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
7,94,121,15.02,74.47,4.81,21.92,Green,37.25,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
34,132,45,13.14,16.49,3.72,186.7,Green,92.86,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
80,101,63,29.09,16.41,4.15,294.35,Light Yellowish Green,6.18,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
49,2,129,31.19,11.09,5.53,57.03,Very Dark Green,9.24,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
103,22,53,10.95,96.09,8.32,237.78,Dark Green,16.28,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
131,52,106,38.09,76.38,6.93,272.37,Green,59.52,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
1,82,192,11.56,41.79,6.58,283.11,Dark Green,15.05,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
133,84,50,26.24,36.69,5.26,288.04,Pale Green,96.81,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
53,77,180,31.27,41.47,9.09,156.44,Very Dark Green,44.67,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
105,109,35,36.13,79.72,5.88,293.19,Pale Green,50.15,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
3,0,114,31.42,69.52,4.02,227.19,Pale Green,24.67,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
53,50,25,34.05,26.67,7.2,48.5,Pale Green,47.1,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
43,3,28,20.18,25.67,4.18,143.07,Very Dark Green,66.19,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
13,112,148,34.44,18.86,5.57,215.5,Very Dark Green,75.12,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
94,31,10,12.4,69.43,6.54,74.2,Light Yellowish Green,75.39,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
47,33,39,36.84,78.79,8.75,192.18,Dark Green,57.79,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
14,91,10,26.43,33.85,6.46,199.98,Dark Green,90.44,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
39,94,163,34.52,11.89,7.71,48.81,Light Yellowish Green,81.74,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
81,71,112,23.57,17.4,9.46,169.53,Light Yellowish Green,75.7,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
110,38,186,29.31,97.11,4.29,231.49,Pale Green,5.56,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
52,117,38,25.79,36.59,5.15,149.67,Light Yellowish Green,0.69,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
23,2,53,31.95,79.23,5.87,3.63,Green,21.24,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
123,122,97,12.45,66.22,6.03,2.71,Dark Green,66.35,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
40,49,54,11.81,44.37,5.97,107.11,Light Yellowish Green,41.12,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
14,11,110,17.41,28.51,8.95,277.86,Green,40.24,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
44,53,151,14.79,20.92,7.78,68.6,Green,88.46,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
64,132,149,36.15,65.35,7.15,190.31,Green,89.56,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
88,56,68,16.58,79.72,5.36,66.62,Green,90.92,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
70,111,55,39.28,67.95,8.44,96.5,Pale Green,31.39,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
8,46,32,20.11,57.73,9.23,254.41,Green,69.11,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
87,84,35,15.46,13.78,8.43,218.66,Pale Green,27.16,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
128,65,147,33.69,97.16,3.51,28.62,Pale Green,19.06,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
135,74,80,29.76,81.88,7.32,128.61,Green,18.46,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
62,102,189,24.95,36.35,3.81,8.75,Dark Green,34.21,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
138,37,108,26.66,98.2,5.05,144.27,Green,43,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
80,49,153,31.58,64.17,3.86,198.73,Green,83.09,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
135,97,193,16.85,62.42,7.12,35.55,Green,11.99,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
32,81,72,39.89,77.33,7.62,86.67,Dark Green,73.49,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
122,29,39,39.24,83.06,4.19,119.35,Very Dark Green,53.15,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
4,78,16,29.51,69.08,5.8,275.86,Very Dark Green,28.79,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
40,90,128,15.99,21.53,6.24,297.98,Pale Green,49.28,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
27,51,60,30.41,40.44,5.71,13.47,Pale Green,29.99,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
134,78,170,12.17,93.53,4.23,228.3,Dark Green,59.61,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
71,29,103,10.92,30.22,6.01,111.52,Light Yellowish Green,43.38,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
11,105,41,17.73,43.5,8.01,117.74,Very Dark Green,16.44,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
32,50,24,23.88,48.89,3.93,226.28,Pale Green,11.66,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
47,80,38,36.05,49.55,3.98,275.53,Very Dark Green,54.67,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
61,132,34,31.82,65.16,5.63,285.28,Dark Green,90.24,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
36,28,130,32.28,94.88,9.15,173.14,Dark Green,34.4,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
98,131,107,22.76,31.66,7.51,107.14,Light Yellowish Green,73.3,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
103,137,171,20.38,20.94,7.57,236.26,Light Yellowish Green,65.87,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
34,73,178,21.13,27.77,5.67,75.3,Dark Green,93.16,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
100,16,101,39.63,89.82,7.06,169.22,Pale Green,82.1,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
130,83,97,11.2,68.12,3.56,107.57,Very Dark Green,56.66,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
0,68,11,36.01,35.73,7.32,196.99,Green,65.7,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
4,33,18,27.36,83.44,8.98,72.12,Light Yellowish Green,89.84,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
102,5,100,23.16,87.52,7.18,57.48,Green,39.95,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
26,52,43,31.76,86.19,8.74,275.47,Pale Green,32.68,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
136,125,186,24.6,92.7,7.84,30.54,Light Yellowish Green,1.08,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
14,42,48,36.2,32.7,4.22,151.79,Green,82.66,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
89,114,188,37.02,77.95,8.91,66.26,Pale Green,80.1,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
41,110,16,22.65,51.45,3.9,11.68,Very Dark Green,10.45,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
123,79,73,18.3,85.78,6.7,10.81,Pale Green,57.69,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
62,94,56,27.77,75.56,4.35,52.57,Light Yellowish Green,46.4,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
95,117,54,37.37,79.88,3.57,260.03,Dark Green,11.87,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
51,7,46,16.32,69.05,6.03,84.74,Very Dark Green,98.06,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
95,131,11,28.69,25.97,5.27,285.14,Green,21.47,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
131,103,61,28.95,59.05,6.42,174.49,Light Yellowish Green,6.72,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
28,131,79,31.99,98.62,6.96,130.98,Dark Green,59.48,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
35,24,82,13.95,94.36,3.76,174.03,Pale Green,73.89,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
12,95,7,31.47,13.89,4.24,155.01,Dark Green,3.24,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
70,92,148,37.27,24.83,6.85,227.63,Light Yellowish Green,65.87,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
85,60,80,15.39,21.86,5.56,84.75,Light Yellowish Green,53.23,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
27,121,117,17.13,75.34,7.88,105.92,Dark Green,10.33,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
65,50,197,39.14,83.6,7.41,268.23,Pale Green,17.25,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
